"tot"	"tot"	"tot"	"X4"
"M"	"L"	"H"	"series"
"1.0000000000000001E-9"	"1.0189999999999999E-2"	"1.465E-2"	"a"
"1.0189999999999999E-2"	"1.0189999999999999E-2"	"1.465E-2"	"a"
"1.0000000000000001E-9"	"1.0189999999999999E-2"	"1.465E-2"	"b"
"1.0189999999999999E-2"	"1.0189999999999999E-2"	"1.465E-2"	"b"
"1.0000000000000001E-9"	"1.0189999999999999E-2"	"1.465E-2"	"c"
"1.0189999999999999E-2"	"1.0189999999999999E-2"	"1.465E-2"	"c"
"1.0000000000000001E-9"	"0.10199999999999999"	"0.1638"	"d"
"1.0189999999999999E-2"	"0.10199999999999999"	"0.1638"	"d"
"1.0000000000000001E-9"	"0.10199999999999999"	"0.1638"	"e"
"1.0189999999999999E-2"	"0.10199999999999999"	"0.1638"	"e"
"1.0000000000000001E-9"	"0.10199999999999999"	"0.1638"	"f"
"1.0189999999999999E-2"	"0.10199999999999999"	"0.1638"	"f"
