"data","volumes","observation","dilution","deviation"
1,0.002,5.68309614333761e-06,5.2389e-05,1e-07
2,0.01,0.000151270019437322,0.00032246,1e-07
3,0.01,0.000164174243954135,0.00031286,1e-07
4,0.01,0.000161766685306602,0.00030326,1e-07
5,0.01,0.000154410840917368,0.00029366,1e-07
6,0.01,0.000150812631382844,0.00028406,1e-07
7,0.01,0.000147967580625029,0.00027446,1e-07
8,0.01,0.000142025213329922,0.00026486,1e-07
9,0.01,0.000140521924325731,0.00025526,1e-07
10,0.01,0.000138227683218485,0.00024566,1e-07
11,0.01,0.000134469100835544,0.00023606,1e-07
12,0.01,0.000131902338151592,0.00022646,1e-07
13,0.01,0.000129932017369441,0.000216860000000001,1e-07
14,0.01,0.000125658951454205,0.000207259999999999,1e-07
15,0.01,0.000121930716306095,0.00019766,1e-07
16,0.01,0.000119731498089042,0.00018806,1e-07
17,0.01,0.000116859819817852,0.00017846,1e-07
18,0.01,0.000113507286288302,0.00016886,1e-07
19,0.01,0.000110154933531191,0.00015926,1e-07
20,0.01,0.000109171976349646,0.00014966,1e-07
21,0.01,0.000104884426597035,0.000140059999999999,1e-07
22,0.01,0.000103335196973618,0.000130460000000001,1e-07
23,0.01,0.00010013899930567,0.000120860000000001,1e-07
24,0.01,9.76601326246162e-05,0.000111259999999998,1e-07
25,0.01,9.32732611303209e-05,0.000101660000000001,1e-07
