data,particle,signal,1,2,3,4,5,6,7,8
observation,L,CH,150.49,150.45,150.52,150.61,150.72,150.85,150.96,150.96
observation,L,C6,131.6,131.53,131.35,131.25,130.92,130.73,130.52,130.31
observation,L,C3,112.22,112.35,112.54,112.81,113.14,113.52,113.92,114.32
observation,L,C4,111.42,111.46,111.5,111.56,111.62,111.7,111.78,111.85
observation,L,C5,144.12,144.2,144.31,144.46,144.65,144.86,145.08,145.3
observation,L,Men,62.58,62.53,62.45,62.37,62.22,62.08,61.93,61.79
observation,L,Me,18.97,18.94,18.86,18.77,18.65,18.51,18.37,18.22
deviation,L,CH,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
deviation,L,C6,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
deviation,L,C3,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
deviation,L,C4,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
deviation,L,C5,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
deviation,L,Men,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
deviation,L,Me,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
