"data";"volumes";"observation";"dilution";"deviation";"heats";"heats.calculated";"res.abs";"res.rel"
1;0,002;1,33024430810567e-05;-2,13828e-05;1e-07;3,46852430810567e-05;0,000131835711807137;9,71504687260805e-05;2,8009164732981
2;0,01;0,000448750399907126;-0,000175518;1e-07;0,000624268399907126;0,000637297010386625;1,30286104794994e-05;0,0208702065993373
3;0,01;0,000439459263254933;-0,000169758;1e-07;0,000609217263254933;0,00060267909997693;-6,53816327800337e-06;-0,0107320715816082
4;0,01;0,000412048463189916;-0,000163998;1e-07;0,000576046463189916;0,000570394422125924;-5,65204106399192e-06;-0,00981177982187959
5;0,01;0,000393306346042804;-0,000158238;1e-07;0,000551544346042804;0,000540252617008768;-1,12917290340355e-05;-0,0204729304453049
6;0,01;0,000364730346649461;-0,000152478;1e-07;0,000517208346649461;0,000512090108942313;-5,11823770714837e-06;-0,00989589154990429
7;0,01;0,000340844078275324;-0,000146718;1e-07;0,000487562078275324;0,000485752098395842;-1,80997987948248e-06;-0,00371230651465965
8;0,01;0,000321968578019801;-0,000140958;1e-07;0,000462926578019801;0,000461090176026803;-1,83640199299793e-06;-0,00396694007255592
9;0,01;0,000306935937491238;-0,000135198;1e-07;0,000442133937491238;0,000437990455320821;-4,14348217041673e-06;-0,00937155422614181
10;0,01;0,000293903759417584;-0,000129438;1e-07;0,000423341759417584;0,000416323542898089;-7,01821651949512e-06;-0,0165781342458407
11;0,01;0,0002775679843713;-0,000123678;1e-07;0,0004012459843713;0,000395990526012892;-5,25545835840848e-06;-0,0130978466155695
12;0,01;0,000264605317977577;-0,000117918;1e-07;0,000382523317977577;0,000376886754422267;-5,63656355530995e-06;-0,0147352155813946
13;0,01;0,000251805668370557;-0,000112158;1e-07;0,000363963668370557;0,000358929490345372;-5,03417802518466e-06;-0,0138315399658498
14;0,01;0,000240576015784257;-0,000106398;1e-07;0,000346974015784257;0,000342030670161369;-4,94334562288804e-06;-0,0142470196556786
15;0,01;0,00023123273298954;-0,000100638;1e-07;0,00033187073298954;0,000326124618728564;-5,74611426097649e-06;-0,0173143145501703
16;0,01;0,000220234106689584;-9,48780000000004e-05;1e-07;0,000315112106689584;0,000311125130579679;-3,98697610990545e-06;-0,0126525640407495
17;0,01;0,000209152099958524;-8,91179999999995e-05;1e-07;0,000298270099958524;0,000296989556456206;-1,28054350231774e-06;-0,00429323456322241
18;0,01;0,000201253467639318;-8,33580000000002e-05;1e-07;0,000284611467639318;0,000283640883130587;-9,70584508731115e-07;-0,00341020871991397
19;0,01;0,000191246726770228;-7,7598e-05;1e-07;0,000268844726770228;0,000271041591926816;2,19686515658807e-06;0,0081715017548611
20;0,01;0,000185086322693858;-7,18380000000002e-05;1e-07;0,000256924322693858;0,00025912614423778;2,20182154392215e-06;0,00856992253919752
21;0,01;0,000175354559241618;-6,6078e-05;1e-07;0,000241432559241618;0,000247857608364547;6,42504912292861e-06;0,0266121899345756
22;0,01;0,000172180902895047;-6,03180000000002e-05;1e-07;0,000232498902895047;0,000237200677757181;4,70177486213411e-06;0,0202227830049441
23;0,01;0,000162428073255568;-5,4558e-05;1e-07;0,000216986073255568;0,000227100401663572;1,01143284080035e-05;0,0466127998735234
24;0,01;0,000155929422479766;-4,87979999999998e-05;1e-07;0,000204727422479766;0,000217525969663614;1,27985471838486e-05;0,0625150604097191
25;0,01;0,000147409095889272;-4,3038e-05;1e-07;0,000190447095889272;0,000208463284720144;1,80161888308716e-05;0,0945994411032991
