"tot","tot"
"PLP","T3H"
"0.000866232","1E-018"
"0.000864792006004402","9.88941101207676E-005"
"0.00086335679165531","0.00019745996964509"
"0.000861926333195157","0.000295699210165539"
"0.000860500607023566","0.000393613452479313"
"0.000859079589696054","0.000491204306677373"
"0.000857663257922745","0.000588473372232698"
"0.000856251588567101","0.000685422238087666"
"0.000854844558644657","0.000782052482740581"
"0.000853442145321779","0.000878365674331336"
"0.000852044325914424","0.000974363370726247"
"0.00085065107788692","0.00107004711960205"
"0.000849262378850756","0.00116541845852906"
"0.000847878206563378","0.00126047891505355"
"0.000846498538927006","0.0013552300067793"
"0.000845123353987455","0.00144967324144834"
"0.000843752629932975","0.00154381011702098"
"0.000842386345093091","0.00163764212175492"
