"";"molecule1";"molecule2";"molecule3";"molecule4";"molecule5"
"1";3,02262423844444e-15;3,59447206733933e-15;5,8960963025757e-11;3,15211322428474e-10;9,05200314630368e-11
"2";-1,23419061531947e-15;-1,41114100407107e-15;2,81908571768069e-12;7,7797309224995e-12;5,13091811309064e-12
"3";-2,15048364790513e-15;-2,38684311190912e-15;1,01377171639885e-14;1,95753667353362e-14;9,38890847888777e-15
"4";3,17446886478319e-12;3,77504405541784e-12;6,01008972983515e-09;1,16056031678741e-08;5,6917751536917e-09
"5";1,15595664353727e-13;1,36902501347359e-13;5,2458284420135e-11;1,62220772981441e-10;4,06987515847911e-11
"6";-2,65603594407932e-15;-1,77667269232333e-15;3,16136706298062e-14;1,84486450453372e-13;3,31019209191556e-14
"7";5,26111842082865e-12;6,25542327313198e-12;4,76280223472358e-10;3,89546925780457e-09;2,66063129215965e-10
"8";1,09463834312975e-14;1,32379533937817e-14;7,33250411190061e-13;8,30497771453528e-12;3,45824795639033e-13
"9";2,56265968042028e-15;2,93027614185271e-15;-1,86747421441893e-15;8,3460865925852e-15;-1,20370621524202e-16
"10";5,04646829375071e-15;5,37607996158578e-15;1,27399090907659e-11;2,73676917173691e-11;7,60443459631737e-11
"11";3,99512073255265e-15;4,7509543846572e-15;5,29167909577716e-11;8,49453428604374e-11;5,86752039418616e-10
