"V1","V2","V3"
0.557425630157726,0.574770033883465,0.954993246418733
0.928363363019364,0.701484129172892,0.904645999593417
1.29304607309019,0.825935123824576,0.85519794939257
1.64928944729858,0.947324362011421,0.806966425330533
1.99262503291621,1.06404682561645,0.760589148440454
2.3189778404057,1.17458669972392,0.716668396697526
2.61752523797008,1.27508619459811,0.676736983751509
2.88110458503363,1.36287858350111,0.641854478870726
3.09895253491769,1.43413467723606,0.613542332259964
3.27045064275001,1.48859478255162,0.591903729152805
