"twoPH","PLP","SB"
1.04756990515219e-06,0.000177507569904465,2.05924301090531e-05
2.35217195199204e-06,0.000157162171950435,4.09378280766738e-05
4.01014347143566e-06,0.000137180143468741,6.09198565721876e-05
6.16971850864882e-06,0.00011768971850441,8.0410281550831e-05
9.04860172960439e-06,9.89486017231752e-05,9.91513983473167e-05
1.30001747394686e-05,8.12001747297624e-05,0.000116899825358122
1.84638481633618e-05,6.50638481488629e-05,0.00013303615196191
2.60677912049859e-05,5.09677911863608e-05,0.000147132208968287
3.62268176059087e-05,3.9526817600207e-05,0.000158573182688361
4.90826211500012e-05,3.07826212118385e-05,0.000167317379542795
